Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,event_id,round,weather_url,tournament_city,actual_weather_city
11:52 PM,54ʡF,43ʡF,66ʡ%,ENE,13ʡmph,0ʡmph,29.08ʡin,0.0ʡin,Mostly Cloudy,2120,3,https://www.wunderground.com/history/daily/KATL/date/2014-04-20," Duluth, GA","Atlanta, GA"
12:52 AM,54ʡF,43ʡF,66ʡ%,ENE,15ʡmph,0ʡmph,29.08ʡin,0.0ʡin,Mostly Cloudy,2120,3,https://www.wunderground.com/history/daily/KATL/date/2014-04-20," Duluth, GA","Atlanta, GA"
1:52 AM,53ʡF,43ʡF,69ʡ%,ENE,18ʡmph,25ʡmph,29.05ʡin,0.0ʡin,Mostly Cloudy,2120,3,https://www.wunderground.com/history/daily/KATL/date/2014-04-20," Duluth, GA","Atlanta, GA"
2:52 AM,53ʡF,42ʡF,66ʡ%,ENE,15ʡmph,0ʡmph,29.06ʡin,0.0ʡin,Partly Cloudy,2120,3,https://www.wunderground.com/history/daily/KATL/date/2014-04-20," Duluth, GA","Atlanta, GA"
3:52 AM,52ʡF,43ʡF,71ʡ%,ENE,15ʡmph,0ʡmph,29.06ʡin,0.0ʡin,Fair,2120,3,https://www.wunderground.com/history/daily/KATL/date/2014-04-20," Duluth, GA","Atlanta, GA"
4:52 AM,51ʡF,43ʡF,74ʡ%,NE,9ʡmph,0ʡmph,29.08ʡin,0.0ʡin,Fair,2120,3,https://www.wunderground.com/history/daily/KATL/date/2014-04-20," Duluth, GA","Atlanta, GA"
5:52 AM,51ʡF,43ʡF,74ʡ%,NE,13ʡmph,0ʡmph,29.08ʡin,0.0ʡin,Fair,2120,3,https://www.wunderground.com/history/daily/KATL/date/2014-04-20," Duluth, GA","Atlanta, GA"
6:52 AM,53ʡF,43ʡF,69ʡ%,NNE,8ʡmph,0ʡmph,29.11ʡin,0.0ʡin,Partly Cloudy,2120,3,https://www.wunderground.com/history/daily/KATL/date/2014-04-20," Duluth, GA","Atlanta, GA"
7:52 AM,57ʡF,43ʡF,59ʡ%,NE,12ʡmph,0ʡmph,29.14ʡin,0.0ʡin,Mostly Cloudy,2120,3,https://www.wunderground.com/history/daily/KATL/date/2014-04-20," Duluth, GA","Atlanta, GA"
8:52 AM,60ʡF,41ʡF,49ʡ%,ENE,18ʡmph,24ʡmph,29.13ʡin,0.0ʡin,Partly Cloudy,2120,3,https://www.wunderground.com/history/daily/KATL/date/2014-04-20," Duluth, GA","Atlanta, GA"
9:52 AM,63ʡF,39ʡF,41ʡ%,ENE,18ʡmph,30ʡmph,29.14ʡin,0.0ʡin,Partly Cloudy,2120,3,https://www.wunderground.com/history/daily/KATL/date/2014-04-20," Duluth, GA","Atlanta, GA"
10:52 AM,65ʡF,42ʡF,43ʡ%,ENE,13ʡmph,24ʡmph,29.13ʡin,0.0ʡin,Partly Cloudy,2120,3,https://www.wunderground.com/history/daily/KATL/date/2014-04-20," Duluth, GA","Atlanta, GA"
11:52 AM,66ʡF,41ʡF,40ʡ%,NE,12ʡmph,21ʡmph,29.12ʡin,0.0ʡin,Partly Cloudy,2120,3,https://www.wunderground.com/history/daily/KATL/date/2014-04-20," Duluth, GA","Atlanta, GA"
12:52 PM,69ʡF,42ʡF,38ʡ%,ENE,13ʡmph,20ʡmph,29.10ʡin,0.0ʡin,Partly Cloudy,2120,3,https://www.wunderground.com/history/daily/KATL/date/2014-04-20," Duluth, GA","Atlanta, GA"
1:52 PM,70ʡF,43ʡF,38ʡ%,E,9ʡmph,17ʡmph,29.08ʡin,0.0ʡin,Partly Cloudy,2120,3,https://www.wunderground.com/history/daily/KATL/date/2014-04-20," Duluth, GA","Atlanta, GA"
2:52 PM,72ʡF,43ʡF,35ʡ%,NNE,8ʡmph,0ʡmph,29.07ʡin,0.0ʡin,Fair,2120,3,https://www.wunderground.com/history/daily/KATL/date/2014-04-20," Duluth, GA","Atlanta, GA"
3:52 PM,74ʡF,43ʡF,33ʡ%,NE,12ʡmph,0ʡmph,29.05ʡin,0.0ʡin,Partly Cloudy,2120,3,https://www.wunderground.com/history/daily/KATL/date/2014-04-20," Duluth, GA","Atlanta, GA"
4:52 PM,73ʡF,41ʡF,31ʡ%,NE,8ʡmph,0ʡmph,29.04ʡin,0.0ʡin,Partly Cloudy,2120,3,https://www.wunderground.com/history/daily/KATL/date/2014-04-20," Duluth, GA","Atlanta, GA"
5:52 PM,73ʡF,42ʡF,33ʡ%,E,9ʡmph,0ʡmph,29.04ʡin,0.0ʡin,Partly Cloudy,2120,3,https://www.wunderground.com/history/daily/KATL/date/2014-04-20," Duluth, GA","Atlanta, GA"
6:52 PM,69ʡF,41ʡF,36ʡ%,E,7ʡmph,0ʡmph,29.03ʡin,0.0ʡin,Partly Cloudy,2120,3,https://www.wunderground.com/history/daily/KATL/date/2014-04-20," Duluth, GA","Atlanta, GA"
7:52 PM,66ʡF,40ʡF,38ʡ%,E,6ʡmph,0ʡmph,29.05ʡin,0.0ʡin,Partly Cloudy,2120,3,https://www.wunderground.com/history/daily/KATL/date/2014-04-20," Duluth, GA","Atlanta, GA"
8:52 PM,63ʡF,41ʡF,45ʡ%,E,6ʡmph,0ʡmph,29.06ʡin,0.0ʡin,Partly Cloudy,2120,3,https://www.wunderground.com/history/daily/KATL/date/2014-04-20," Duluth, GA","Atlanta, GA"
9:52 PM,61ʡF,42ʡF,50ʡ%,E,6ʡmph,0ʡmph,29.07ʡin,0.0ʡin,Partly Cloudy,2120,3,https://www.wunderground.com/history/daily/KATL/date/2014-04-20," Duluth, GA","Atlanta, GA"
10:52 PM,61ʡF,41ʡF,48ʡ%,E,5ʡmph,0ʡmph,29.09ʡin,0.0ʡin,Partly Cloudy,2120,3,https://www.wunderground.com/history/daily/KATL/date/2014-04-20," Duluth, GA","Atlanta, GA"
11:53 PM,55ʡF,45ʡF,69ʡ%,CALM,0ʡmph,0ʡmph,29.93ʡin,0.0ʡin,Partly Cloudy,2121,1,https://www.wunderground.com/history/daily/KIAH/date/2014-05-02," The Woodlands, TX","Houston, TX"
12:53 AM,53ʡF,45ʡF,74ʡ%,CALM,0ʡmph,0ʡmph,29.91ʡin,0.0ʡin,Fair,2121,1,https://www.wunderground.com/history/daily/KIAH/date/2014-05-02," The Woodlands, TX","Houston, TX"
