Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,event_id,round,weather_url,tournament_city,actual_weather_city
10:53 PM,79ʡF,64ʡF,60ʡ%,N,9ʡmph,0ʡmph,28.75ʡin,0.0ʡin,Fair,947,3,https://www.wunderground.com/history/daily/KTYS/date/2011-08-27," Knoxville, TN","Louisville, TN"
11:53 PM,77ʡF,64ʡF,64ʡ%,N,9ʡmph,0ʡmph,28.74ʡin,0.0ʡin,Fair,947,3,https://www.wunderground.com/history/daily/KTYS/date/2011-08-27," Knoxville, TN","Louisville, TN"
12:53 AM,77ʡF,64ʡF,64ʡ%,N,7ʡmph,0ʡmph,28.74ʡin,0.0ʡin,Cloudy,947,3,https://www.wunderground.com/history/daily/KTYS/date/2011-08-27," Knoxville, TN","Louisville, TN"
1:53 AM,75ʡF,64ʡF,69ʡ%,N,6ʡmph,0ʡmph,28.72ʡin,0.0ʡin,Partly Cloudy,947,3,https://www.wunderground.com/history/daily/KTYS/date/2011-08-27," Knoxville, TN","Louisville, TN"
2:53 AM,74ʡF,64ʡF,71ʡ%,CALM,0ʡmph,0ʡmph,28.71ʡin,0.0ʡin,Partly Cloudy,947,3,https://www.wunderground.com/history/daily/KTYS/date/2011-08-27," Knoxville, TN","Louisville, TN"
3:53 AM,73ʡF,64ʡF,73ʡ%,N,5ʡmph,0ʡmph,28.72ʡin,0.0ʡin,Fair,947,3,https://www.wunderground.com/history/daily/KTYS/date/2011-08-27," Knoxville, TN","Louisville, TN"
4:53 AM,73ʡF,64ʡF,73ʡ%,NNW,6ʡmph,0ʡmph,28.71ʡin,0.0ʡin,Cloudy,947,3,https://www.wunderground.com/history/daily/KTYS/date/2011-08-27," Knoxville, TN","Louisville, TN"
5:53 AM,71ʡF,64ʡF,78ʡ%,N,5ʡmph,0ʡmph,28.72ʡin,0.0ʡin,Mostly Cloudy,947,3,https://www.wunderground.com/history/daily/KTYS/date/2011-08-27," Knoxville, TN","Louisville, TN"
6:53 AM,70ʡF,64ʡF,81ʡ%,NNE,5ʡmph,0ʡmph,28.73ʡin,0.0ʡin,Mostly Cloudy,947,3,https://www.wunderground.com/history/daily/KTYS/date/2011-08-27," Knoxville, TN","Louisville, TN"
7:53 AM,72ʡF,64ʡF,76ʡ%,N,5ʡmph,0ʡmph,28.74ʡin,0.0ʡin,Partly Cloudy,947,3,https://www.wunderground.com/history/daily/KTYS/date/2011-08-27," Knoxville, TN","Louisville, TN"
8:53 AM,74ʡF,64ʡF,71ʡ%,NNE,6ʡmph,0ʡmph,28.74ʡin,0.0ʡin,Mostly Cloudy,947,3,https://www.wunderground.com/history/daily/KTYS/date/2011-08-27," Knoxville, TN","Louisville, TN"
9:53 AM,79ʡF,64ʡF,60ʡ%,N,12ʡmph,0ʡmph,28.74ʡin,0.0ʡin,Fair,947,3,https://www.wunderground.com/history/daily/KTYS/date/2011-08-27," Knoxville, TN","Louisville, TN"
10:53 AM,80ʡF,64ʡF,58ʡ%,NNE,12ʡmph,17ʡmph,28.73ʡin,0.0ʡin,Mostly Cloudy,947,3,https://www.wunderground.com/history/daily/KTYS/date/2011-08-27," Knoxville, TN","Louisville, TN"
11:53 AM,82ʡF,62ʡF,51ʡ%,NNE,9ʡmph,0ʡmph,28.72ʡin,0.0ʡin,Fair,947,3,https://www.wunderground.com/history/daily/KTYS/date/2011-08-27," Knoxville, TN","Louisville, TN"
12:53 PM,84ʡF,61ʡF,46ʡ%,CALM,0ʡmph,0ʡmph,28.71ʡin,0.0ʡin,Partly Cloudy,947,3,https://www.wunderground.com/history/daily/KTYS/date/2011-08-27," Knoxville, TN","Louisville, TN"
1:53 PM,86ʡF,61ʡF,43ʡ%,NW,5ʡmph,17ʡmph,28.69ʡin,0.0ʡin,Partly Cloudy,947,3,https://www.wunderground.com/history/daily/KTYS/date/2011-08-27," Knoxville, TN","Louisville, TN"
2:53 PM,87ʡF,59ʡF,39ʡ%,NNE,13ʡmph,0ʡmph,28.66ʡin,0.0ʡin,Fair,947,3,https://www.wunderground.com/history/daily/KTYS/date/2011-08-27," Knoxville, TN","Louisville, TN"
3:53 PM,88ʡF,53ʡF,30ʡ%,NNW,16ʡmph,22ʡmph,28.65ʡin,0.0ʡin,Fair,947,3,https://www.wunderground.com/history/daily/KTYS/date/2011-08-27," Knoxville, TN","Louisville, TN"
4:53 PM,87ʡF,53ʡF,31ʡ%,NNW,10ʡmph,0ʡmph,28.65ʡin,0.0ʡin,Partly Cloudy,947,3,https://www.wunderground.com/history/daily/KTYS/date/2011-08-27," Knoxville, TN","Louisville, TN"
5:53 PM,85ʡF,53ʡF,33ʡ%,N,10ʡmph,0ʡmph,28.66ʡin,0.0ʡin,Partly Cloudy,947,3,https://www.wunderground.com/history/daily/KTYS/date/2011-08-27," Knoxville, TN","Louisville, TN"
6:53 PM,82ʡF,56ʡF,41ʡ%,N,6ʡmph,0ʡmph,28.68ʡin,0.0ʡin,Fair,947,3,https://www.wunderground.com/history/daily/KTYS/date/2011-08-27," Knoxville, TN","Louisville, TN"
7:53 PM,80ʡF,55ʡF,42ʡ%,NNE,3ʡmph,0ʡmph,28.69ʡin,0.0ʡin,Fair,947,3,https://www.wunderground.com/history/daily/KTYS/date/2011-08-27," Knoxville, TN","Louisville, TN"
8:53 PM,77ʡF,55ʡF,46ʡ%,NNE,5ʡmph,0ʡmph,28.71ʡin,0.0ʡin,Fair,947,3,https://www.wunderground.com/history/daily/KTYS/date/2011-08-27," Knoxville, TN","Louisville, TN"
9:53 PM,76ʡF,56ʡF,50ʡ%,NE,3ʡmph,0ʡmph,28.71ʡin,0.0ʡin,Fair,947,3,https://www.wunderground.com/history/daily/KTYS/date/2011-08-27," Knoxville, TN","Louisville, TN"
10:53 PM,73ʡF,57ʡF,57ʡ%,SE,3ʡmph,0ʡmph,28.70ʡin,0.0ʡin,Fair,947,4,https://www.wunderground.com/history/daily/KTYS/date/2011-08-28," Knoxville, TN","Louisville, TN"
11:53 PM,71ʡF,57ʡF,61ʡ%,SSE,3ʡmph,0ʡmph,28.69ʡin,0.0ʡin,Fair,947,4,https://www.wunderground.com/history/daily/KTYS/date/2011-08-28," Knoxville, TN","Louisville, TN"
