Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,event_id,round,weather_url,tournament_city,actual_weather_city
11:53 PM,71ʡF,59ʡF,66ʡ%,CALM,0ʡmph,0ʡmph,30.05ʡin,0.0ʡin,Mostly Cloudy,568,3,https://www.wunderground.com/history/daily/PHKO/date/2009-01-25," Kailua Kona, HI","Kailua Kona, HI"
12:53 AM,71ʡF,59ʡF,66ʡ%,CALM,0ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair,568,3,https://www.wunderground.com/history/daily/PHKO/date/2009-01-25," Kailua Kona, HI","Kailua Kona, HI"
1:53 AM,71ʡF,60ʡF,68ʡ%,CALM,0ʡmph,0ʡmph,30.03ʡin,0.0ʡin,Fair,568,3,https://www.wunderground.com/history/daily/PHKO/date/2009-01-25," Kailua Kona, HI","Kailua Kona, HI"
2:53 AM,71ʡF,60ʡF,68ʡ%,ESE,5ʡmph,0ʡmph,30.02ʡin,0.0ʡin,Fair,568,3,https://www.wunderground.com/history/daily/PHKO/date/2009-01-25," Kailua Kona, HI","Kailua Kona, HI"
3:53 AM,70ʡF,59ʡF,68ʡ%,E,7ʡmph,0ʡmph,30.02ʡin,0.0ʡin,Fair,568,3,https://www.wunderground.com/history/daily/PHKO/date/2009-01-25," Kailua Kona, HI","Kailua Kona, HI"
4:53 AM,68ʡF,57ʡF,68ʡ%,CALM,0ʡmph,0ʡmph,30.02ʡin,0.0ʡin,Fair,568,3,https://www.wunderground.com/history/daily/PHKO/date/2009-01-25," Kailua Kona, HI","Kailua Kona, HI"
5:53 AM,68ʡF,58ʡF,70ʡ%,CALM,0ʡmph,0ʡmph,30.02ʡin,0.0ʡin,Fair,568,3,https://www.wunderground.com/history/daily/PHKO/date/2009-01-25," Kailua Kona, HI","Kailua Kona, HI"
6:53 AM,67ʡF,60ʡF,79ʡ%,CALM,0ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair,568,3,https://www.wunderground.com/history/daily/PHKO/date/2009-01-25," Kailua Kona, HI","Kailua Kona, HI"
7:53 AM,69ʡF,61ʡF,75ʡ%,CALM,0ʡmph,0ʡmph,30.05ʡin,0.0ʡin,Fair,568,3,https://www.wunderground.com/history/daily/PHKO/date/2009-01-25," Kailua Kona, HI","Kailua Kona, HI"
8:53 AM,76ʡF,62ʡF,62ʡ%,CALM,0ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair,568,3,https://www.wunderground.com/history/daily/PHKO/date/2009-01-25," Kailua Kona, HI","Kailua Kona, HI"
