Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,event_id,round,weather_url,tournament_city,actual_weather_city
11:53 PM,65ʡF,57ʡF,75ʡ%,S,5ʡmph,0ʡmph,29.99ʡin,0.0ʡin,Fair,401056529,4,https://www.wunderground.com/history/daily/KMSY/date/2019-04-28," Avondale, LA","Kenner, LA"
12:53 AM,65ʡF,58ʡF,78ʡ%,S,3ʡmph,0ʡmph,29.97ʡin,0.0ʡin,Fair,401056529,4,https://www.wunderground.com/history/daily/KMSY/date/2019-04-28," Avondale, LA","Kenner, LA"
1:53 AM,61ʡF,57ʡF,87ʡ%,WSW,3ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Fair,401056529,4,https://www.wunderground.com/history/daily/KMSY/date/2019-04-28," Avondale, LA","Kenner, LA"
2:53 AM,63ʡF,58ʡF,84ʡ%,SSW,3ʡmph,0ʡmph,29.99ʡin,0.0ʡin,Fair,401056529,4,https://www.wunderground.com/history/daily/KMSY/date/2019-04-28," Avondale, LA","Kenner, LA"
3:53 AM,62ʡF,57ʡF,84ʡ%,CALM,0ʡmph,0ʡmph,29.99ʡin,0.0ʡin,Fair,401056529,4,https://www.wunderground.com/history/daily/KMSY/date/2019-04-28," Avondale, LA","Kenner, LA"
4:53 AM,62ʡF,57ʡF,84ʡ%,CALM,0ʡmph,0ʡmph,30.00ʡin,0.0ʡin,Fair,401056529,4,https://www.wunderground.com/history/daily/KMSY/date/2019-04-28," Avondale, LA","Kenner, LA"
5:53 AM,63ʡF,59ʡF,87ʡ%,CALM,0ʡmph,0ʡmph,30.03ʡin,0.0ʡin,Mostly Cloudy,401056529,4,https://www.wunderground.com/history/daily/KMSY/date/2019-04-28," Avondale, LA","Kenner, LA"
6:53 AM,67ʡF,59ʡF,76ʡ%,CALM,0ʡmph,0ʡmph,30.06ʡin,0.0ʡin,Mostly Cloudy,401056529,4,https://www.wunderground.com/history/daily/KMSY/date/2019-04-28," Avondale, LA","Kenner, LA"
7:53 AM,72ʡF,60ʡF,66ʡ%,SE,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Mostly Cloudy,401056529,4,https://www.wunderground.com/history/daily/KMSY/date/2019-04-28," Avondale, LA","Kenner, LA"
8:53 AM,73ʡF,57ʡF,57ʡ%,S,5ʡmph,0ʡmph,30.08ʡin,0.0ʡin,Mostly Cloudy,401056529,4,https://www.wunderground.com/history/daily/KMSY/date/2019-04-28," Avondale, LA","Kenner, LA"
