Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,event_id,round,weather_url,tournament_city,actual_weather_city
11:54 PM,80ʡF,68ʡF,67ʡ%,N,9ʡmph,0ʡmph,28.77ʡin,0.0ʡin,Mostly Cloudy,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
12:54 AM,77ʡF,67ʡF,71ʡ%,CALM,0ʡmph,0ʡmph,28.78ʡin,0.0ʡin,Mostly Cloudy,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
1:54 AM,75ʡF,68ʡF,79ʡ%,CALM,0ʡmph,0ʡmph,28.78ʡin,0.0ʡin,Partly Cloudy,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
2:54 AM,73ʡF,68ʡF,84ʡ%,CALM,0ʡmph,0ʡmph,28.77ʡin,0.0ʡin,Fair,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
3:54 AM,72ʡF,68ʡF,87ʡ%,CALM,0ʡmph,0ʡmph,28.76ʡin,0.0ʡin,Fair,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
4:54 AM,71ʡF,68ʡF,90ʡ%,NNE,8ʡmph,0ʡmph,28.78ʡin,0.0ʡin,Fair,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
5:54 AM,72ʡF,67ʡF,84ʡ%,NE,7ʡmph,0ʡmph,28.78ʡin,0.0ʡin,Cloudy,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
6:54 AM,72ʡF,67ʡF,84ʡ%,N,8ʡmph,0ʡmph,28.82ʡin,0.0ʡin,Cloudy,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
7:19 AM,71ʡF,67ʡF,87ʡ%,N,13ʡmph,31ʡmph,28.86ʡin,0.0ʡin,Light Rain,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
7:50 AM,72ʡF,66ʡF,83ʡ%,NNW,10ʡmph,0ʡmph,28.86ʡin,0.0ʡin,Cloudy,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
7:54 AM,72ʡF,66ʡF,81ʡ%,NNW,9ʡmph,0ʡmph,28.86ʡin,0.0ʡin,Cloudy,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
8:54 AM,70ʡF,65ʡF,84ʡ%,NNE,17ʡmph,0ʡmph,28.79ʡin,0.0ʡin,Light Rain,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
9:30 AM,71ʡF,66ʡF,84ʡ%,NW,13ʡmph,0ʡmph,28.80ʡin,0.0ʡin,Mostly Cloudy,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
9:37 AM,71ʡF,67ʡF,87ʡ%,NW,17ʡmph,21ʡmph,28.82ʡin,0.0ʡin,Light Rain with Thunder,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
9:54 AM,71ʡF,65ʡF,81ʡ%,N,12ʡmph,0ʡmph,28.78ʡin,0.0ʡin,Light Rain with Thunder,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
10:35 AM,71ʡF,66ʡF,84ʡ%,SSW,7ʡmph,0ʡmph,28.81ʡin,0.0ʡin,Light Rain with Thunder,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
10:45 AM,70ʡF,66ʡF,87ʡ%,SSE,5ʡmph,0ʡmph,28.79ʡin,0.1ʡin,Light Rain with Thunder,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
10:54 AM,70ʡF,66ʡF,87ʡ%,SE,12ʡmph,0ʡmph,28.76ʡin,0.1ʡin,Light Rain with Thunder,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
11:08 AM,70ʡF,67ʡF,90ʡ%,SSE,15ʡmph,0ʡmph,28.75ʡin,0.0ʡin,Light Rain,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
11:23 AM,70ʡF,67ʡF,90ʡ%,ESE,13ʡmph,0ʡmph,28.71ʡin,0.0ʡin,Light Rain with Thunder,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
11:47 AM,70ʡF,67ʡF,90ʡ%,S,17ʡmph,0ʡmph,28.77ʡin,0.0ʡin,Light Rain,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
11:54 AM,70ʡF,67ʡF,90ʡ%,SSE,17ʡmph,0ʡmph,28.74ʡin,0.0ʡin,Light Rain,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
12:16 PM,70ʡF,67ʡF,90ʡ%,S,7ʡmph,0ʡmph,28.78ʡin,0.0ʡin,Light Rain with Thunder,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
12:54 PM,70ʡF,67ʡF,90ʡ%,SE,9ʡmph,0ʡmph,28.75ʡin,0.1ʡin,Light Rain with Thunder,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
1:08 PM,70ʡF,68ʡF,93ʡ%,S,10ʡmph,0ʡmph,28.76ʡin,0.0ʡin,Light Rain,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
1:17 PM,70ʡF,68ʡF,93ʡ%,NW,7ʡmph,0ʡmph,28.78ʡin,0.0ʡin,Light Rain with Thunder,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
1:54 PM,71ʡF,67ʡF,87ʡ%,W,14ʡmph,18ʡmph,28.78ʡin,0.1ʡin,Light Rain with Thunder,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
2:28 PM,71ʡF,66ʡF,84ʡ%,SSE,7ʡmph,0ʡmph,28.74ʡin,0.0ʡin,Cloudy,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
2:54 PM,71ʡF,67ʡF,87ʡ%,CALM,0ʡmph,0ʡmph,28.73ʡin,0.0ʡin,Cloudy,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
3:54 PM,71ʡF,68ʡF,90ʡ%,CALM,0ʡmph,0ʡmph,28.75ʡin,0.0ʡin,Cloudy,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
4:54 PM,71ʡF,69ʡF,93ʡ%,ENE,8ʡmph,0ʡmph,28.74ʡin,0.0ʡin,Cloudy,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
5:29 PM,73ʡF,69ʡF,87ʡ%,E,7ʡmph,0ʡmph,28.74ʡin,0.0ʡin,Thunder,401025234,3,https://www.wunderground.com/history/daily/KDSM/date/2018-06-10," Des Moines, IA","Des Moines, IA"
