Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,event_id,round,weather_url,tournament_city,actual_weather_city
11:53 PM,50ʡF,36ʡF,59ʡ%,W,12ʡmph,21ʡmph,29.23ʡin,0.0ʡin,Cloudy,1178,4,https://www.wunderground.com/history/daily/KDET/date/2013-11-10,The Montgomerie Maxx Royal,"Detroit, MI"
12:53 AM,49ʡF,34ʡF,56ʡ%,W,17ʡmph,25ʡmph,29.24ʡin,0.0ʡin,Cloudy,1178,4,https://www.wunderground.com/history/daily/KDET/date/2013-11-10,The Montgomerie Maxx Royal,"Detroit, MI"
1:53 AM,48ʡF,33ʡF,56ʡ%,WNW,8ʡmph,16ʡmph,29.24ʡin,0.0ʡin,Cloudy,1178,4,https://www.wunderground.com/history/daily/KDET/date/2013-11-10,The Montgomerie Maxx Royal,"Detroit, MI"
2:53 AM,46ʡF,38ʡF,73ʡ%,WSW,5ʡmph,0ʡmph,29.24ʡin,0.0ʡin,Cloudy,1178,4,https://www.wunderground.com/history/daily/KDET/date/2013-11-10,The Montgomerie Maxx Royal,"Detroit, MI"
3:53 AM,45ʡF,27ʡF,49ʡ%,WNW,22ʡmph,32ʡmph,29.26ʡin,0.0ʡin,Cloudy / Windy,1178,4,https://www.wunderground.com/history/daily/KDET/date/2013-11-10,The Montgomerie Maxx Royal,"Detroit, MI"
4:53 AM,44ʡF,28ʡF,53ʡ%,W,13ʡmph,25ʡmph,29.28ʡin,0.0ʡin,Mostly Cloudy,1178,4,https://www.wunderground.com/history/daily/KDET/date/2013-11-10,The Montgomerie Maxx Royal,"Detroit, MI"
5:53 AM,43ʡF,26ʡF,51ʡ%,W,14ʡmph,23ʡmph,29.32ʡin,0.0ʡin,Cloudy,1178,4,https://www.wunderground.com/history/daily/KDET/date/2013-11-10,The Montgomerie Maxx Royal,"Detroit, MI"
6:53 AM,43ʡF,26ʡF,51ʡ%,W,13ʡmph,20ʡmph,29.34ʡin,0.0ʡin,Cloudy,1178,4,https://www.wunderground.com/history/daily/KDET/date/2013-11-10,The Montgomerie Maxx Royal,"Detroit, MI"
7:53 AM,43ʡF,27ʡF,53ʡ%,WNW,13ʡmph,24ʡmph,29.38ʡin,0.0ʡin,Cloudy,1178,4,https://www.wunderground.com/history/daily/KDET/date/2013-11-10,The Montgomerie Maxx Royal,"Detroit, MI"
8:53 AM,43ʡF,27ʡF,53ʡ%,W,13ʡmph,24ʡmph,29.40ʡin,0.0ʡin,Cloudy,1178,4,https://www.wunderground.com/history/daily/KDET/date/2013-11-10,The Montgomerie Maxx Royal,"Detroit, MI"
9:53 AM,44ʡF,27ʡF,51ʡ%,WNW,12ʡmph,24ʡmph,29.41ʡin,0.0ʡin,Cloudy,1178,4,https://www.wunderground.com/history/daily/KDET/date/2013-11-10,The Montgomerie Maxx Royal,"Detroit, MI"
