Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,event_id,round,weather_url,tournament_city,actual_weather_city
11:53 PM,78ʡF,44ʡF,30ʡ%,W,5ʡmph,0ʡmph,26.89ʡin,0.0ʡin,Smoke,2193,2,https://www.wunderground.com/history/daily/KBOI/date/2014-07-18," Boise, ID","Boise, ID"
12:53 AM,75ʡF,45ʡF,34ʡ%,W,3ʡmph,0ʡmph,26.90ʡin,0.0ʡin,Smoke,2193,2,https://www.wunderground.com/history/daily/KBOI/date/2014-07-18," Boise, ID","Boise, ID"
1:53 AM,71ʡF,46ʡF,41ʡ%,SSE,3ʡmph,0ʡmph,26.92ʡin,0.0ʡin,Smoke,2193,2,https://www.wunderground.com/history/daily/KBOI/date/2014-07-18," Boise, ID","Boise, ID"
2:53 AM,67ʡF,44ʡF,44ʡ%,S,5ʡmph,0ʡmph,26.94ʡin,0.0ʡin,Smoke,2193,2,https://www.wunderground.com/history/daily/KBOI/date/2014-07-18," Boise, ID","Boise, ID"
3:53 AM,68ʡF,41ʡF,37ʡ%,CALM,0ʡmph,0ʡmph,26.96ʡin,0.0ʡin,Smoke,2193,2,https://www.wunderground.com/history/daily/KBOI/date/2014-07-18," Boise, ID","Boise, ID"
4:53 AM,66ʡF,38ʡF,36ʡ%,SW,5ʡmph,0ʡmph,26.96ʡin,0.0ʡin,Smoke,2193,2,https://www.wunderground.com/history/daily/KBOI/date/2014-07-18," Boise, ID","Boise, ID"
5:53 AM,66ʡF,37ʡF,34ʡ%,CALM,0ʡmph,0ʡmph,26.98ʡin,0.0ʡin,Smoke,2193,2,https://www.wunderground.com/history/daily/KBOI/date/2014-07-18," Boise, ID","Boise, ID"
6:53 AM,67ʡF,39ʡF,36ʡ%,CALM,0ʡmph,0ʡmph,26.99ʡin,0.0ʡin,Mostly Cloudy,2193,2,https://www.wunderground.com/history/daily/KBOI/date/2014-07-18," Boise, ID","Boise, ID"
7:53 AM,70ʡF,39ʡF,32ʡ%,CALM,0ʡmph,0ʡmph,27.01ʡin,0.0ʡin,Cloudy,2193,2,https://www.wunderground.com/history/daily/KBOI/date/2014-07-18," Boise, ID","Boise, ID"
8:53 AM,75ʡF,41ʡF,29ʡ%,N,5ʡmph,0ʡmph,27.02ʡin,0.0ʡin,Cloudy,2193,2,https://www.wunderground.com/history/daily/KBOI/date/2014-07-18," Boise, ID","Boise, ID"
9:53 AM,79ʡF,34ʡF,20ʡ%,WNW,9ʡmph,0ʡmph,27.02ʡin,0.0ʡin,Mostly Cloudy,2193,2,https://www.wunderground.com/history/daily/KBOI/date/2014-07-18," Boise, ID","Boise, ID"
10:53 AM,82ʡF,30ʡF,15ʡ%,NW,9ʡmph,0ʡmph,27.02ʡin,0.0ʡin,Mostly Cloudy,2193,2,https://www.wunderground.com/history/daily/KBOI/date/2014-07-18," Boise, ID","Boise, ID"
11:53 AM,85ʡF,29ʡF,13ʡ%,NNW,9ʡmph,0ʡmph,27.01ʡin,0.0ʡin,Partly Cloudy,2193,2,https://www.wunderground.com/history/daily/KBOI/date/2014-07-18," Boise, ID","Boise, ID"
12:53 PM,89ʡF,23ʡF,9ʡ%,NW,9ʡmph,0ʡmph,26.99ʡin,0.0ʡin,Fair,2193,2,https://www.wunderground.com/history/daily/KBOI/date/2014-07-18," Boise, ID","Boise, ID"
1:53 PM,90ʡF,23ʡF,9ʡ%,VAR,7ʡmph,0ʡmph,26.98ʡin,0.0ʡin,Fair,2193,2,https://www.wunderground.com/history/daily/KBOI/date/2014-07-18," Boise, ID","Boise, ID"
2:53 PM,93ʡF,21ʡF,7ʡ%,NNW,13ʡmph,22ʡmph,26.96ʡin,0.0ʡin,Fair,2193,2,https://www.wunderground.com/history/daily/KBOI/date/2014-07-18," Boise, ID","Boise, ID"
3:53 PM,94ʡF,26ʡF,9ʡ%,WNW,16ʡmph,20ʡmph,26.95ʡin,0.0ʡin,Fair,2193,2,https://www.wunderground.com/history/daily/KBOI/date/2014-07-18," Boise, ID","Boise, ID"
4:53 PM,94ʡF,26ʡF,9ʡ%,WNW,13ʡmph,0ʡmph,26.94ʡin,0.0ʡin,Fair,2193,2,https://www.wunderground.com/history/daily/KBOI/date/2014-07-18," Boise, ID","Boise, ID"
5:53 PM,93ʡF,28ʡF,10ʡ%,W,13ʡmph,0ʡmph,26.92ʡin,0.0ʡin,Partly Cloudy,2193,2,https://www.wunderground.com/history/daily/KBOI/date/2014-07-18," Boise, ID","Boise, ID"
6:53 PM,91ʡF,28ʡF,10ʡ%,NW,8ʡmph,0ʡmph,26.91ʡin,0.0ʡin,Fair,2193,2,https://www.wunderground.com/history/daily/KBOI/date/2014-07-18," Boise, ID","Boise, ID"
7:53 PM,89ʡF,34ʡF,14ʡ%,W,3ʡmph,0ʡmph,26.92ʡin,0.0ʡin,Partly Cloudy,2193,2,https://www.wunderground.com/history/daily/KBOI/date/2014-07-18," Boise, ID","Boise, ID"
8:53 PM,83ʡF,35ʡF,18ʡ%,NNW,6ʡmph,0ʡmph,26.93ʡin,0.0ʡin,Mostly Cloudy,2193,2,https://www.wunderground.com/history/daily/KBOI/date/2014-07-18," Boise, ID","Boise, ID"
9:53 PM,79ʡF,37ʡF,22ʡ%,WSW,5ʡmph,0ʡmph,26.95ʡin,0.0ʡin,Mostly Cloudy,2193,2,https://www.wunderground.com/history/daily/KBOI/date/2014-07-18," Boise, ID","Boise, ID"
10:53 PM,77ʡF,39ʡF,25ʡ%,WNW,8ʡmph,0ʡmph,26.95ʡin,0.0ʡin,Fair,2193,2,https://www.wunderground.com/history/daily/KBOI/date/2014-07-18," Boise, ID","Boise, ID"
11:53 PM,73ʡF,41ʡF,31ʡ%,W,6ʡmph,0ʡmph,26.96ʡin,0.0ʡin,Fair,2193,3,https://www.wunderground.com/history/daily/KBOI/date/2014-07-19," Boise, ID","Boise, ID"
12:53 AM,71ʡF,42ʡF,35ʡ%,CALM,0ʡmph,0ʡmph,26.97ʡin,0.0ʡin,Fair,2193,3,https://www.wunderground.com/history/daily/KBOI/date/2014-07-19," Boise, ID","Boise, ID"
1:53 AM,69ʡF,42ʡF,38ʡ%,S,3ʡmph,0ʡmph,26.98ʡin,0.0ʡin,Fair,2193,3,https://www.wunderground.com/history/daily/KBOI/date/2014-07-19," Boise, ID","Boise, ID"
2:53 AM,67ʡF,41ʡF,39ʡ%,CALM,0ʡmph,0ʡmph,26.98ʡin,0.0ʡin,Fair,2193,3,https://www.wunderground.com/history/daily/KBOI/date/2014-07-19," Boise, ID","Boise, ID"
3:53 AM,63ʡF,38ʡF,40ʡ%,S,5ʡmph,0ʡmph,26.99ʡin,0.0ʡin,Mostly Cloudy,2193,3,https://www.wunderground.com/history/daily/KBOI/date/2014-07-19," Boise, ID","Boise, ID"
4:53 AM,63ʡF,38ʡF,40ʡ%,CALM,0ʡmph,0ʡmph,27.01ʡin,0.0ʡin,Fair,2193,3,https://www.wunderground.com/history/daily/KBOI/date/2014-07-19," Boise, ID","Boise, ID"
5:53 AM,63ʡF,38ʡF,40ʡ%,SSE,3ʡmph,0ʡmph,27.02ʡin,0.0ʡin,Fair,2193,3,https://www.wunderground.com/history/daily/KBOI/date/2014-07-19," Boise, ID","Boise, ID"
6:53 AM,67ʡF,38ʡF,34ʡ%,CALM,0ʡmph,0ʡmph,27.03ʡin,0.0ʡin,Fair,2193,3,https://www.wunderground.com/history/daily/KBOI/date/2014-07-19," Boise, ID","Boise, ID"
7:53 AM,72ʡF,39ʡF,30ʡ%,WNW,6ʡmph,0ʡmph,27.05ʡin,0.0ʡin,Fair,2193,3,https://www.wunderground.com/history/daily/KBOI/date/2014-07-19," Boise, ID","Boise, ID"
8:53 AM,75ʡF,42ʡF,31ʡ%,NNW,9ʡmph,0ʡmph,27.05ʡin,0.0ʡin,Fair,2193,3,https://www.wunderground.com/history/daily/KBOI/date/2014-07-19," Boise, ID","Boise, ID"
9:53 AM,79ʡF,42ʡF,27ʡ%,NW,10ʡmph,0ʡmph,27.05ʡin,0.0ʡin,Fair,2193,3,https://www.wunderground.com/history/daily/KBOI/date/2014-07-19," Boise, ID","Boise, ID"
10:53 AM,79ʡF,44ʡF,29ʡ%,N,9ʡmph,0ʡmph,27.06ʡin,0.0ʡin,Fair,2193,3,https://www.wunderground.com/history/daily/KBOI/date/2014-07-19," Boise, ID","Boise, ID"
