City,base_url,is_golf_club
" Mobile, AL",https://www.wunderground.com/history/daily/KMOB/date/2024-10-26,False
The Country Club at Woodmore,,True
" Kiawah Island, SC",https://www.wunderground.com/history,False
" Glenview, IL",https://www.wunderground.com/history/daily/KORD/date/2024-10-26,False
Raven Golf Club at Sandestin,,True
" Raleigh, NC",https://www.wunderground.com/history/daily/KRDU/date/2024-10-26,False
Glen Oaks CC,,True
" Knoxville, TN",https://www.wunderground.com/history/daily/KTYS/date/2024-10-26,False
" Concord, MA",https://www.wunderground.com/history/daily/KBOS/date/2024-10-26,False
" Findley Lake, NY",https://www.wunderground.com/history/daily/KERI/date/2024-10-26,False
Red Course at Eisenhower Park,,True
StoneWater GC,,True
" Kohler, WI",https://www.wunderground.com/history/daily/KATW/date/2024-10-26,False
Somerby Golf Club,,True
" Springfield, MO",https://www.wunderground.com/history/daily/KSGF/date/2024-10-26,False
" Omaha, NE",https://www.wunderground.com/history/daily/KOMA/date/2024-10-26,False
" Gullane, Scotland",https://www.wunderground.com/history/daily/EGPH/date/2024-10-26,False
" Wichita, KS",https://www.wunderground.com/history/daily/KICT/date/2024-10-26,False
" Blaine, MN",https://www.wunderground.com/history/daily/KMSP/date/2024-10-26,False
Glenmaura National GC,,True
Irondequoit Country Club,,True
Crosswater Club at Sunriver Resort,,True
Pete Dye Golf Club,,True
Willow Creek Country Club,,True
Shadow Hills Country Club,,True
" Conover, NC",https://www.wunderground.com/history/daily/KCLT/date/2024-10-26,False
" Boise, ID",https://www.wunderground.com/history/daily/KBOI/date/2024-10-26,False
" Cary, NC",https://www.wunderground.com/history/daily/KRDU/date/2024-10-26,False
Empire Lakes Golf Course,,True
Baltimore Country Club/Five Farms,,True
Midland CC,,True
Augusta Pines GC,,True
Miccosukee G&CC,,True
Sonoma Golf Club,,True
Barona Creek Golf Club,,True
" Columbus, OH",https://www.wunderground.com/history/daily/KCMH/date/2024-10-26,False
" Port St. Lucie, FL",https://www.wunderground.com/history/daily/KFPR/date/2024-10-26,False
" Southport, England",https://www.wunderground.com/history/daily/EGNH/date/2024-10-26,False
" Paramus, NJ",https://www.wunderground.com/history/daily/KTEB/date/2024-10-26,False
" La Jolla, CA",https://www.wunderground.com/history/daily/KSAN/date/2024-10-26,False
" St. Louis, MO",https://www.wunderground.com/history/daily/KSTL/date/2024-10-26,False
" Bloomfield Township, MI",https://www.wunderground.com/history/daily/KPTK/date/2024-10-26,False
" Las Vegas, NV",https://www.wunderground.com/history/daily/KVGT/date/2024-10-26,False
" Louisville, KY",https://www.wunderground.com/history/daily/KSDF/date/2024-10-26,False
" Palm Coast, FL",https://www.wunderground.com/history/daily/KDAB/date/2024-10-26,False
" Rio Grande, Puerto Rico",https://www.wunderground.com/history/daily/TJSJ/date/2024-10-26,False
" Incheon, South Korea",https://www.wunderground.com/history/daily/RKSS/date/2024-10-26,False
" Santo Domingo, Dominican Republic",https://www.wunderground.com/history/daily/MDJB/date/2024-10-26,False
" Rochester, NY",https://www.wunderground.com/history/daily/KROC/date/2024-10-26,False
" Troon, Scotland",https://www.wunderground.com/history/daily/EGPK/date/2024-10-26,False
" Colorado Springs, CO",https://www.wunderground.com/history/daily/KCOS/date/2024-10-26,False
" Snoqualmie, WA",https://www.wunderground.com/history/daily/KSEA/date/2024-10-26,False
Tres Marias Residential Golf Club,,True
" Moscow, PA",https://www.wunderground.com/history/daily/KAVP/date/2024-10-26,False
" McKinney, TX",https://www.wunderground.com/history/daily/KDAL/date/2024-10-26,False
" Fingal, Australia",https://www.wunderground.com/history/daily/YMMB/date/2024-10-26,False
" Irving, TX",https://www.wunderground.com/history/daily/KDAL/date/2024-10-26,False
" Jersey City, NJ",https://www.wunderground.com/history/daily/KEWR/date/2024-10-26,False
" Bethpage, NY",https://www.wunderground.com/history/daily/KJFK/date/2024-10-26,False
" Turnberry, Ayrshire",https://www.wunderground.com/history/daily/KFOD/date/2024-10-26,False
" Chaska, MN",https://www.wunderground.com/history/daily/KMSP/date/2024-10-26,False
TPC Treviso Bay,https://www.wunderground.com/history/daily/WMKP/date/2024-10-26,False
" Beachwood, OH",https://www.wunderground.com/history/daily/KCLE/date/2024-10-26,False
" Berkshire, England",https://www.wunderground.com/history/daily/KLIT/date/2024-10-26,False
" Carmel, IN",https://www.wunderground.com/history/daily/KIND/date/2024-10-26,False
" The Woodlands, TX",https://www.wunderground.com/history/daily/KIAH/date/2024-10-26,False
The Hills Golf Club,,True
" Valencia, Spain",https://www.wunderground.com/history/daily/LEVC/date/2024-10-26,False
" Overland Park, KS",https://www.wunderground.com/history/daily/KMCI/date/2024-10-26,False
" Hayward, CA",https://www.wunderground.com/history/daily/KOAK/date/2024-10-26,False
Soboba Springs,https://www.wunderground.com/history/daily/FAOR/date/2024-10-26,False
" Charleston, SC",https://www.wunderground.com/history,False
Vines Resort GC,,True
New Kuta GC,,True
Porto Santo Golfe,,True
"Oitavos Golfe, Quinta da Marinha",,True
Beijing CBD International GC,,True
Pinx GC,,True
PGA Golf de Catalunya,,True
Co Louth GC,,True
Royal Park I Roveri,https://www.wunderground.com/history/daily/KHOT/date/2024-10-26,False
Wentworth GC,,True
Heritage Course,,True
" Broussard, LA",https://www.wunderground.com/history/daily/KLFT/date/2024-10-26,False
Aa St Omer,https://www.wunderground.com/history/daily/LFAC/date/2024-10-26,False
Eichenreid,https://www.wunderground.com/history,False
" Paris, France",https://www.wunderground.com/history/daily/LFPO/date/2024-10-26,False
Loch Lomond,https://www.wunderground.com/history/daily/CYQY/date/2024-10-26,False
Barseback G & CC,,True
Prosper Golf Resort,,True
Kennemer G & CC,,True
" Perth, Scotland",https://www.wunderground.com/history/daily/EGPN/date/2024-10-26,False
Sierre,https://www.wunderground.com/history/daily/LSGS/date/2024-10-26,False
Gut Larchenhof GC,,True
Fontana GC,,True
