event_id,tournament_title,event_date,purse,city,Yards,par,golf_course,start_date,end_date
50,PGA Championship,"August 15 - 18, 2002",5500000,,,72.0,,2002-08-15,2002-08-18
51,WGC-NEC Invitational,"August 22 - 25, 2002",5500000,,,70.0,,2002-08-22,2002-08-25
52,Reno-Tahoe Open,"August 22 - 25, 2002",3000000," Reno, NV",,73.0,Montreux G&CC,2002-08-22,2002-08-25
53,Air Canada Championship,"Aug 29 - September 1, 2002",3500000,,,71.0,,2002-08-29,2002-09-01
54,Bell Canadian Open,"September 5 - 8, 2002",4000000,,,73.0,,2002-09-05,2002-09-08
55,SEI Pennsylvania Classic,"September 12 - 15, 2002",3300000,,,71.0,,2002-09-12,2002-09-15
56,WGC-American Express Championship,"September 19 - 22, 2002",5500000,,,72.0,,2002-09-19,2002-09-22
57,Tampa Bay Classic presented by Buick,"September 19 - 22, 2002",2600000," Palm Harbor, FL",,71.0,Innisbrook Resort (Copperhead Course),2002-09-19,2002-09-22
58,Valero Texas Open,"September 26 - 29, 2002",3500000," San Antonio, TX",,70.0,LaCantera GC,2002-09-26,2002-09-29
59,Michelob Championship at Kingsmill,"October 3 - 6, 2002",3700000,,,71.0,,2002-10-03,2002-10-06
60,Invensys Classic at Las Vegas,"October 9 - 13, 2002",5000000,,7247.0,72.0,,2002-10-09,2002-10-13
61,Disney Golf Classic,"October 17 - 20, 2002",3700000,,,72.0,,2002-10-17,2002-10-20
62,Buick Challenge,"October 24 - 27, 2002",3700000,,,72.0,,2002-10-24,2002-10-27
63,THE TOUR Championship presented by Coca-Cola,"Oct 31 - November 3, 2002",5000000," Atlanta, GA",,70.0,East Lake Golf Club,2002-10-31,2002-11-03
64,Southern Farm Bureau Classic,"Oct 31 - November 3, 2002",2600000," Madison, MS",,,Annandale GC,2002-10-31,2002-11-03
65,Mercedes Championships,"January 3 - 6, 2002",4000000," Kapalua, HI",7411.0,73.0,Kapalua Resort (Plantation Course),2002-01-03,2002-01-06
66,Sony Open in Hawaii,"January 10 - 13, 2002",4000000," Honolulu, HI",7044.0,70.0,Waialae Country Club,2002-01-10,2002-01-13
67,Bob Hope Chrysler Classic,"January 16 - 20, 2002",4000000,,6997.0,71.0,,2002-01-16,2002-01-20
68,Phoenix Open,"January 24 - 27, 2002",4000000," Scottsdale, AZ",,71.0,TPC Scottsdale (Stadium Course),2002-01-24,2002-01-27
69,AT&T Pebble Beach National Pro-Am,"Jan 31 - February 3, 2002",4000000,,6822.0,72.0,,2002-01-31,2002-02-03
70,Buick Invitational,"February 7 - 10, 2002",3600000,,,72.0,,2002-02-07,2002-02-10
71,Nissan Open,"February 14 - 17, 2002",3700000," Pacific Palisades, CA",,71.0,Riviera Country Club,2002-02-14,2002-02-17
72,WGC-Accenture Match Play Championship,"February 24, 2002",5500000," Carlsbad, CA",7247.0,72.0,La Costa South Course,,
73,Touchstone Energy Tucson Open,"February 21 - 24, 2002",3000000," Tucson, AZ",7213.0,72.0,Omni Tucson National Golf Resort and Spa,2002-02-21,2002-02-24
74,Genuity Championship,"Feb 28 - March 3, 2002",4700000," Doral, FL",,72.0,Trump National Doral Golf Course,2002-02-28,2002-03-03
75,The Honda Classic,"March 7 - 10, 2002",3500000,,,72.0,,2002-03-07,2002-03-10
76,Bay Hill Invitational presented by Cooper Tires,"March 14 - 17, 2002",4000000," Orlando, FL",,72.0,Arnold Palmer's Bay Hill Club & Lodge,2002-03-14,2002-03-17
77,THE PLAYERS Championship,"March 21 - 24, 2002",6000000," Ponte Vedra Beach, FL",,72.0,TPC Sawgrass (THE PLAYERS Stadium Course),2002-03-21,2002-03-24
78,Shell Houston Open,"March 28 - 31, 2002",4000000,,,72.0,,2002-03-28,2002-03-31
79,BellSouth Classic,"April 4 - 7, 2002",3800000," Duluth, GA",7311.0,72.0,TPC Sugarloaf,2002-04-04,2002-04-07
80,Masters Tournament,"April 11 - 14, 2002",5600000," Augusta, GA",,72.0,Augusta National Golf Club,2002-04-11,2002-04-14
81,WORLDCOM CLASSIC - The Heritage of Golf,"April 18 - 21, 2002",4000000," Hilton Head Island, SC",,71.0,Harbour Town Golf Links,2002-04-18,2002-04-21
82,Greater Greensboro Chrysler Classic,"April 25 - 28, 2002",3800000," Greensboro, NC",7311.0,72.0,Forest Oaks,2002-04-25,2002-04-28
83,Compaq Classic of New Orleans,"May 2 - 5, 2002",4500000," New Orleans, LA",7078.0,72.0,English Turn,2002-05-02,2002-05-05
84,Verizon Byron Nelson Classic,"May 9 - 12, 2002",4800000,,6847.0,70.0,,2002-05-09,2002-05-12
85,MasterCard Colonial,"May 16 - 19, 2002",4300000," Fort Worth, TX",,70.0,Colonial Country Club,2002-05-16,2002-05-19
86,Memorial Tournament,"May 23 - 26, 2002",4500000," Dublin, OH",,72.0,Muirfield Village Golf Club,2002-05-23,2002-05-26
87,Kemper Insurance Open,"May 30 - June 2, 2002",3600000," Potomac, MD",7005.0,71.0,TPC Potomac at Avenel Farm,2002-05-30,2002-06-02
88,Buick Classic,"June 6 - 9, 2002",3500000," Harrison, NY",6839.0,71.0,Westchester CC,2002-06-06,2002-06-09
89,U.S. Open Championship,"June 13 - 16, 2002",5500000,,,70.0,,2002-06-13,2002-06-16
90,Canon Greater Hartford Open,"June 20 - 23, 2002",4000000," Cromwell, CT",,70.0,TPC River Highlands,2002-06-20,2002-06-23
91,FedEx St. Jude Classic,"June 27 - 30, 2002",3800000," Memphis, TN",,71.0,TPC Southwind,2002-06-27,2002-06-30
92,Advil Western Open,"July 4 - 7, 2002",4000000," Lemont, IL",,72.0,Cog Hill G&CC,2002-07-04,2002-07-07
93,Greater Milwaukee Open,"July 11 - 14, 2002",3100000," Milwaukee, WI",,71.0,Brown Deer Park GC,2002-07-11,2002-07-14
94,British Open Championship,"July 18 - 21, 2002",5878344,,,71.0,,2002-07-18,2002-07-21
95,B.C. Open,"July 18 - 21, 2002",2100000," Endicott, NY",6974.0,72.0,En Joie GC,2002-07-18,2002-07-21
96,John Deere Classic,"July 25 - 28, 2002",3000000," Silvis, IL",,71.0,TPC Deere Run,2002-07-25,2002-07-28
97,The INTERNATIONAL Presented by Qwest,"August 1 - 4, 2002",4500000," Castle Rock, CO",7619.0,72.0,Castle Pines,2002-08-01,2002-08-04
98,Buick Open,"August 8 - 11, 2002",3300000," Grand Blanc, MI",,72.0,Warwick Hills Golf & Country Club,2002-08-08,2002-08-11
99,PGA Championship,"August 14 - 17, 2003",6000000,,,70.0,,2003-08-14,2003-08-17
100,WGC-NEC Invitational,"August 21 - 24, 2003",6000000," Akron, OH",,70.0,Firestone CC (South Course),2003-08-21,2003-08-24
101,Reno Tahoe Open,"August 21 - 24, 2003",3000000," Reno, NV",,72.0,Montreux G&CC,2003-08-21,2003-08-24
102,Bell Canadian Open,"September 4 - 7, 2003",4200000," Hamilton, ON",6946.0,70.0,Hamilton Golf & Country Club,2003-09-04,2003-09-07
103,John Deere Classic,"September 11 - 14, 2003",3500000," Silvis, IL",,71.0,TPC Deere Run,2003-09-11,2003-09-14
104,84 Lumber Classic of Pennsylvania,"September 18 - 21, 2003",4000000," Farmington, PA",7516.0,72.0,Nemacolin Mystic Rock Course,2003-09-18,2003-09-21
105,Valero Texas Open,"September 25 - 28, 2003",3500000," San Antonio, TX",,70.0,LaCantera GC,2003-09-25,2003-09-28
106,WGC-American Express Championship,"October 2 - 5, 2003",6000000,,,70.0,,2003-10-02,2003-10-05
107,Southern Farm Bureau Classic,"October 2 - 5, 2003",3000000," Madison, MS",,72.0,Annandale GC,2003-10-02,2003-10-05
108,Las Vegas Invitational,"October 8 - 12, 2003",4000000,,7247.0,72.0,,2003-10-08,2003-10-12
109,Chrysler Classic of Greensboro,"October 16 - 19, 2003",4500000," Greensboro, NC",7311.0,72.0,Forest Oaks,2003-10-16,2003-10-19
110,FUNAI Classic at the WALT DISNEY WORLD Resort,"October 23 - 26, 2003",4000000,,,72.0,,2003-10-23,2003-10-26
111,Chrysler Championship,"Oct 30 - November 2, 2003",4800000," Palm Harbor, FL",,71.0,Innisbrook Resort (Copperhead Course),2003-10-30,2003-11-02
112,THE TOUR Championship presented by Coca-Cola,"November 6 - 9, 2003",6000000,,,71.0,,2003-11-06,2003-11-09
113,WGC-Accenture Match Play Championship,"Feb 27 - March 2, 2003",6000000," Carlsbad, CA",7247.0,72.0,La Costa South Course,2003-02-27,2003-03-02
114,Mercedes Championships,"January 9 - 12, 2003",5000000," Kapalua, HI",7411.0,73.0,Kapalua Resort (Plantation Course),2003-01-09,2003-01-12
115,Sony Open in Hawaii,"January 16 - 19, 2003",4500000," Honolulu, HI",7044.0,70.0,Waialae Country Club,2003-01-16,2003-01-19
116,Phoenix Open,"January 23 - 26, 2003",4000000," Scottsdale, AZ",,71.0,TPC Scottsdale (Stadium Course),2003-01-23,2003-01-26
117,Bob Hope Chrysler Classic,"Jan 29 - February 2, 2003",4500000,,6997.0,71.0,,2003-01-29,2003-02-02
118,AT&T Pebble Beach National Pro-Am,"February 6 - 9, 2003",5000000,,6822.0,72.0,,2003-02-06,2003-02-09
119,Buick Invitational,"February 13 - 16, 2003",4500000,,,72.0,,2003-02-13,2003-02-16
120,Nissan Open,"February 20 - 23, 2003",4500000," Pacific Palisades, CA",,73.0,Riviera Country Club,2003-02-20,2003-02-23
121,Chrysler Classic of Tucson,"Feb 27 - March 2, 2003",3000000," Tucson, AZ",7213.0,72.0,Omni Tucson National Golf Resort and Spa,2003-02-27,2003-03-02
122,Ford Championship at Doral,"March 6 - 9, 2003",5000000," Doral, FL",,,Trump National Doral Golf Course,2003-03-06,2003-03-09
123,The Honda Classic,"March 13 - 16, 2003",5000000,,,72.0,,2003-03-13,2003-03-16
124,Bay Hill Invitational presented by Cooper Tires,"March 20 - 23, 2003",4500000," Orlando, FL",,72.0,Arnold Palmer's Bay Hill Club & Lodge,2003-03-20,2003-03-23
125,THE PLAYERS Championship,"March 27 - 30, 2003",6500000," Ponte Vedra Beach, FL",,72.0,TPC Sawgrass (THE PLAYERS Stadium Course),2003-03-27,2003-03-30
126,BellSouth Classic,"April 3 - 6, 2003",4000000," Duluth, GA",7311.0,72.0,TPC Sugarloaf,2003-04-03,2003-04-06
127,Masters Tournament,"April 10 - 13, 2003",6000000," Augusta, GA",,73.0,Augusta National Golf Club,2003-04-10,2003-04-13
128,MCI Heritage,"April 17 - 20, 2003",4500000," Hilton Head Island, SC",,,Harbour Town Golf Links,2003-04-17,2003-04-20
129,Shell Houston Open,"April 24 - 27, 2003",4500000,,,72.0,,2003-04-24,2003-04-27
130,HP Classic of New Orleans,"May 1 - 4, 2003",5000000," New Orleans, LA",7078.0,72.0,English Turn,2003-05-01,2003-05-04
131,Wachovia Championship,"May 8 - 11, 2003",5600000," Charlotte, NC",,72.0,Quail Hollow Club,2003-05-08,2003-05-11
132,EDS Byron Nelson Championship,"May 15 - 18, 2003",5600000,,6847.0,70.0,,2003-05-15,2003-05-18
133,Bank of America Colonial,"May 22 - 25, 2003",5000000," Fort Worth, TX",,70.0,Colonial Country Club,2003-05-22,2003-05-25
134,the Memorial Tournament,"May 29 - June 1, 2003",5000000," Dublin, OH",,72.0,Muirfield Village Golf Club,2003-05-29,2003-06-01
135,FBR Capital Open,"June 5 - 8, 2003",4500000," Potomac, MD",7005.0,71.0,TPC Potomac at Avenel Farm,2003-06-05,2003-06-08
136,U.S. Open Championship,"June 12 - 15, 2003",6000000,,,70.0,,2003-06-12,2003-06-15
137,Buick Classic,"June 19 - 22, 2003",5000000," Harrison, NY",6839.0,71.0,Westchester CC,2003-06-19,2003-06-22
138,FedEx St. Jude Classic,"June 26 - 29, 2003",4500000," Memphis, TN",,71.0,TPC Southwind,2003-06-26,2003-06-29
139,100th Western Open presented by Golf Digest,"July 3 - 6, 2003",4500000," Lemont, IL",,72.0,Cog Hill G&CC,2003-07-03,2003-07-06
140,Greater Milwaukee Open,"July 10 - 13, 2003",3500000," Milwaukee, WI",,70.0,Brown Deer Park GC,2003-07-10,2003-07-13
141,Deutsche Bank Championship,"Aug 29 - September 1, 2003",5000000," Norton, MA",7145.0,71.0,TPC Boston,2003-08-29,2003-09-01
142,British Open Championship,"July 17 - 20, 2003",5883110," Edison, NJ",7145.0,71.0,Plainfield CC,2003-07-17,2003-07-20
143,B.C. Open,"July 17 - 20, 2003",3000000," Endicott, NY",6974.0,72.0,En Joie GC,2003-07-17,2003-07-20
144,Greater Hartford Open,"July 24 - 27, 2003",4000000," Cromwell, CT",,70.0,TPC River Highlands,2003-07-24,2003-07-27
145,Buick Open,"Jul 31 - August 3, 2003",4000000," Grand Blanc, MI",,72.0,Warwick Hills Golf & Country Club,2003-07-31,2003-08-03
146,The INTERNATIONAL,"August 7 - 10, 2003",5000000," Castle Rock, CO",7619.0,72.0,Castle Pines,2003-08-07,2003-08-10
147,Mercedes Championships,"January 8 - 11, 2004",5300000," Kapalua, HI",7411.0,73.0,Kapalua Resort (Plantation Course),2004-01-08,2004-01-11
148,Chrysler Classic of Tucson,"February 26 - 29, 2004",3000000," Tucson, AZ",7213.0,72.0,Omni Tucson National Golf Resort and Spa,2004-02-26,2004-02-29
149,Bob Hope Chrysler Classic,"January 21 - 25, 2004",4500000,,6997.0,71.0,,2004-01-21,2004-01-25
150,FBR Open,"Jan 29 - February 1, 2004",5200000," Scottsdale, AZ",,71.0,TPC Scottsdale (Stadium Course),2004-01-29,2004-02-01
151,AT&T Pebble Beach National Pro-Am,"February 5 - 8, 2004",5300000,,6822.0,72.0,,2004-02-05,2004-02-08
152,Buick Invitational,"February 12 - 15, 2004",4800000,,,72.0,,2004-02-12,2004-02-15
