Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,event_id,round,weather_url,tournament_city,actual_weather_city
11:53 PM,75ʡF,47ʡF,37ʡ%,E,15ʡmph,0ʡmph,26.78ʡin,0.0ʡin,Mostly Cloudy,3698,1,https://www.wunderground.com/history/daily/KBOI/date/2017-09-14," Boise, ID","Boise, ID"
12:53 AM,76ʡF,45ʡF,33ʡ%,SE,9ʡmph,0ʡmph,26.77ʡin,0.0ʡin,Mostly Cloudy,3698,1,https://www.wunderground.com/history/daily/KBOI/date/2017-09-14," Boise, ID","Boise, ID"
1:53 AM,70ʡF,49ʡF,47ʡ%,SSW,8ʡmph,0ʡmph,26.77ʡin,0.0ʡin,Partly Cloudy,3698,1,https://www.wunderground.com/history/daily/KBOI/date/2017-09-14," Boise, ID","Boise, ID"
2:53 AM,65ʡF,42ʡF,43ʡ%,W,6ʡmph,0ʡmph,26.79ʡin,0.0ʡin,Partly Cloudy,3698,1,https://www.wunderground.com/history/daily/KBOI/date/2017-09-14," Boise, ID","Boise, ID"
3:53 AM,63ʡF,39ʡF,41ʡ%,CALM,0ʡmph,0ʡmph,26.81ʡin,0.0ʡin,Partly Cloudy,3698,1,https://www.wunderground.com/history/daily/KBOI/date/2017-09-14," Boise, ID","Boise, ID"
4:53 AM,63ʡF,40ʡF,43ʡ%,S,6ʡmph,0ʡmph,26.82ʡin,0.0ʡin,Partly Cloudy,3698,1,https://www.wunderground.com/history/daily/KBOI/date/2017-09-14," Boise, ID","Boise, ID"
5:53 AM,63ʡF,34ʡF,34ʡ%,CALM,0ʡmph,0ʡmph,26.82ʡin,0.0ʡin,Mostly Cloudy,3698,1,https://www.wunderground.com/history/daily/KBOI/date/2017-09-14," Boise, ID","Boise, ID"
6:53 AM,62ʡF,35ʡF,37ʡ%,CALM,0ʡmph,0ʡmph,26.82ʡin,0.0ʡin,Mostly Cloudy,3698,1,https://www.wunderground.com/history/daily/KBOI/date/2017-09-14," Boise, ID","Boise, ID"
7:53 AM,63ʡF,32ʡF,31ʡ%,W,6ʡmph,0ʡmph,26.83ʡin,0.0ʡin,Cloudy,3698,1,https://www.wunderground.com/history/daily/KBOI/date/2017-09-14," Boise, ID","Boise, ID"
8:53 AM,64ʡF,33ʡF,31ʡ%,NW,7ʡmph,0ʡmph,26.84ʡin,0.0ʡin,Cloudy,3698,1,https://www.wunderground.com/history/daily/KBOI/date/2017-09-14," Boise, ID","Boise, ID"
9:53 AM,66ʡF,37ʡF,34ʡ%,W,5ʡmph,0ʡmph,26.85ʡin,0.0ʡin,Cloudy,3698,1,https://www.wunderground.com/history/daily/KBOI/date/2017-09-14," Boise, ID","Boise, ID"
10:53 AM,64ʡF,34ʡF,33ʡ%,W,8ʡmph,0ʡmph,26.85ʡin,0.0ʡin,Cloudy,3698,1,https://www.wunderground.com/history/daily/KBOI/date/2017-09-14," Boise, ID","Boise, ID"
11:53 AM,65ʡF,35ʡF,33ʡ%,VAR,5ʡmph,0ʡmph,26.85ʡin,0.0ʡin,Cloudy,3698,1,https://www.wunderground.com/history/daily/KBOI/date/2017-09-14," Boise, ID","Boise, ID"
12:53 PM,69ʡF,34ʡF,27ʡ%,NNW,10ʡmph,0ʡmph,26.84ʡin,0.0ʡin,Cloudy,3698,1,https://www.wunderground.com/history/daily/KBOI/date/2017-09-14," Boise, ID","Boise, ID"
1:53 PM,65ʡF,41ʡF,42ʡ%,N,3ʡmph,0ʡmph,26.83ʡin,0.0ʡin,Light Rain,3698,1,https://www.wunderground.com/history/daily/KBOI/date/2017-09-14," Boise, ID","Boise, ID"
2:53 PM,67ʡF,40ʡF,37ʡ%,NW,6ʡmph,0ʡmph,26.82ʡin,0.0ʡin,Cloudy,3698,1,https://www.wunderground.com/history/daily/KBOI/date/2017-09-14," Boise, ID","Boise, ID"
3:53 PM,68ʡF,38ʡF,33ʡ%,N,5ʡmph,0ʡmph,26.80ʡin,0.0ʡin,Cloudy,3698,1,https://www.wunderground.com/history/daily/KBOI/date/2017-09-14," Boise, ID","Boise, ID"
4:53 PM,71ʡF,38ʡF,30ʡ%,NNW,9ʡmph,0ʡmph,26.80ʡin,0.0ʡin,Cloudy,3698,1,https://www.wunderground.com/history/daily/KBOI/date/2017-09-14," Boise, ID","Boise, ID"
5:53 PM,67ʡF,36ʡF,32ʡ%,NW,15ʡmph,0ʡmph,26.81ʡin,0.0ʡin,Mostly Cloudy,3698,1,https://www.wunderground.com/history/daily/KBOI/date/2017-09-14," Boise, ID","Boise, ID"
6:53 PM,64ʡF,36ʡF,35ʡ%,NW,18ʡmph,0ʡmph,26.84ʡin,0.0ʡin,Cloudy,3698,1,https://www.wunderground.com/history/daily/KBOI/date/2017-09-14," Boise, ID","Boise, ID"
7:53 PM,63ʡF,36ʡF,37ʡ%,NW,16ʡmph,0ʡmph,26.86ʡin,0.0ʡin,Cloudy,3698,1,https://www.wunderground.com/history/daily/KBOI/date/2017-09-14," Boise, ID","Boise, ID"
8:53 PM,62ʡF,37ʡF,39ʡ%,NNW,15ʡmph,24ʡmph,26.86ʡin,0.0ʡin,Cloudy,3698,1,https://www.wunderground.com/history/daily/KBOI/date/2017-09-14," Boise, ID","Boise, ID"
9:53 PM,61ʡF,38ʡF,42ʡ%,NW,12ʡmph,0ʡmph,26.86ʡin,0.0ʡin,Cloudy,3698,1,https://www.wunderground.com/history/daily/KBOI/date/2017-09-14," Boise, ID","Boise, ID"
