Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,event_id,round,weather_url,tournament_city,actual_weather_city
10:51 AM,73ʡF,64ʡF,73ʡ%,NW,10ʡmph,0ʡmph,29.61ʡin,0.0ʡin,Cloudy,167,3,https://www.wunderground.com/history/daily/KIAD/date/2004-06-26," Potomac, MD","Sterling, VA"
11:51 AM,76ʡF,64ʡF,67ʡ%,WNW,8ʡmph,0ʡmph,29.60ʡin,0.0ʡin,Cloudy,167,3,https://www.wunderground.com/history/daily/KIAD/date/2004-06-26," Potomac, MD","Sterling, VA"
12:51 PM,78ʡF,62ʡF,58ʡ%,WNW,12ʡmph,0ʡmph,29.60ʡin,0.0ʡin,Mostly Cloudy,167,3,https://www.wunderground.com/history/daily/KIAD/date/2004-06-26," Potomac, MD","Sterling, VA"
1:51 PM,79ʡF,62ʡF,56ʡ%,NW,13ʡmph,0ʡmph,29.60ʡin,0.0ʡin,Partly Cloudy,167,3,https://www.wunderground.com/history/daily/KIAD/date/2004-06-26," Potomac, MD","Sterling, VA"
2:51 PM,80ʡF,47ʡF,31ʡ%,WNW,15ʡmph,21ʡmph,29.61ʡin,0.0ʡin,Fair,167,3,https://www.wunderground.com/history/daily/KIAD/date/2004-06-26," Potomac, MD","Sterling, VA"
3:51 PM,79ʡF,47ʡF,32ʡ%,WNW,15ʡmph,0ʡmph,29.62ʡin,0.0ʡin,Fair,167,3,https://www.wunderground.com/history/daily/KIAD/date/2004-06-26," Potomac, MD","Sterling, VA"
4:51 PM,79ʡF,46ʡF,31ʡ%,NW,13ʡmph,0ʡmph,29.62ʡin,0.0ʡin,Fair,167,3,https://www.wunderground.com/history/daily/KIAD/date/2004-06-26," Potomac, MD","Sterling, VA"
5:51 PM,77ʡF,46ʡF,33ʡ%,NW,15ʡmph,0ʡmph,29.63ʡin,0.0ʡin,Fair,167,3,https://www.wunderground.com/history/daily/KIAD/date/2004-06-26," Potomac, MD","Sterling, VA"
6:51 PM,74ʡF,48ʡF,40ʡ%,NW,12ʡmph,0ʡmph,29.66ʡin,0.0ʡin,Fair,167,3,https://www.wunderground.com/history/daily/KIAD/date/2004-06-26," Potomac, MD","Sterling, VA"
7:51 PM,70ʡF,48ʡF,46ʡ%,NW,8ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Fair,167,3,https://www.wunderground.com/history/daily/KIAD/date/2004-06-26," Potomac, MD","Sterling, VA"
8:51 PM,68ʡF,49ʡF,50ʡ%,WNW,6ʡmph,0ʡmph,29.70ʡin,0.0ʡin,Fair,167,3,https://www.wunderground.com/history/daily/KIAD/date/2004-06-26," Potomac, MD","Sterling, VA"
9:51 PM,65ʡF,50ʡF,58ʡ%,W,6ʡmph,0ʡmph,29.73ʡin,0.0ʡin,Fair,167,3,https://www.wunderground.com/history/daily/KIAD/date/2004-06-26," Potomac, MD","Sterling, VA"
10:51 PM,64ʡF,50ʡF,60ʡ%,W,7ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Fair,167,4,https://www.wunderground.com/history/daily/KIAD/date/2004-06-27," Potomac, MD","Sterling, VA"
11:51 PM,61ʡF,50ʡF,68ʡ%,CALM,0ʡmph,0ʡmph,29.76ʡin,0.0ʡin,Fair,167,4,https://www.wunderground.com/history/daily/KIAD/date/2004-06-27," Potomac, MD","Sterling, VA"
12:51 AM,63ʡF,50ʡF,63ʡ%,WNW,6ʡmph,0ʡmph,29.76ʡin,0.0ʡin,Fair,167,4,https://www.wunderground.com/history/daily/KIAD/date/2004-06-27," Potomac, MD","Sterling, VA"
1:51 AM,57ʡF,51ʡF,81ʡ%,CALM,0ʡmph,0ʡmph,29.76ʡin,0.0ʡin,Fair,167,4,https://www.wunderground.com/history/daily/KIAD/date/2004-06-27," Potomac, MD","Sterling, VA"
2:51 AM,55ʡF,50ʡF,83ʡ%,CALM,0ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Fair,167,4,https://www.wunderground.com/history/daily/KIAD/date/2004-06-27," Potomac, MD","Sterling, VA"
3:51 AM,54ʡF,50ʡF,86ʡ%,CALM,0ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Mostly Cloudy,167,4,https://www.wunderground.com/history/daily/KIAD/date/2004-06-27," Potomac, MD","Sterling, VA"
4:51 AM,54ʡF,51ʡF,90ʡ%,CALM,0ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Mostly Cloudy,167,4,https://www.wunderground.com/history/daily/KIAD/date/2004-06-27," Potomac, MD","Sterling, VA"
