Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,event_id,round,weather_url,tournament_city,actual_weather_city
10:51 PM,70ʡF,68ʡF,93ʡ%,CALM,0ʡmph,0ʡmph,28.79ʡin,0.0ʡin,Cloudy,1103,4,https://www.wunderground.com/history/daily/KPIT/date/2012-09-02," Canonsburg, PA","Imperial, PA"
11:51 PM,71ʡF,68ʡF,90ʡ%,N,3ʡmph,0ʡmph,28.79ʡin,0.0ʡin,Cloudy,1103,4,https://www.wunderground.com/history/daily/KPIT/date/2012-09-02," Canonsburg, PA","Imperial, PA"
12:51 AM,70ʡF,68ʡF,93ʡ%,CALM,0ʡmph,0ʡmph,28.78ʡin,0.0ʡin,Cloudy,1103,4,https://www.wunderground.com/history/daily/KPIT/date/2012-09-02," Canonsburg, PA","Imperial, PA"
1:34 AM,70ʡF,68ʡF,94ʡ%,NE,3ʡmph,0ʡmph,28.78ʡin,0.0ʡin,Cloudy,1103,4,https://www.wunderground.com/history/daily/KPIT/date/2012-09-02," Canonsburg, PA","Imperial, PA"
1:51 AM,69ʡF,68ʡF,96ʡ%,CALM,0ʡmph,0ʡmph,28.77ʡin,0.0ʡin,Cloudy,1103,4,https://www.wunderground.com/history/daily/KPIT/date/2012-09-02," Canonsburg, PA","Imperial, PA"
2:03 AM,70ʡF,68ʡF,94ʡ%,CALM,0ʡmph,0ʡmph,28.77ʡin,0.0ʡin,Cloudy,1103,4,https://www.wunderground.com/history/daily/KPIT/date/2012-09-02," Canonsburg, PA","Imperial, PA"
2:35 AM,70ʡF,68ʡF,94ʡ%,S,3ʡmph,0ʡmph,28.77ʡin,0.0ʡin,Cloudy,1103,4,https://www.wunderground.com/history/daily/KPIT/date/2012-09-02," Canonsburg, PA","Imperial, PA"
2:51 AM,69ʡF,68ʡF,96ʡ%,S,3ʡmph,0ʡmph,28.76ʡin,0.0ʡin,Cloudy,1103,4,https://www.wunderground.com/history/daily/KPIT/date/2012-09-02," Canonsburg, PA","Imperial, PA"
3:12 AM,70ʡF,68ʡF,94ʡ%,CALM,0ʡmph,0ʡmph,28.77ʡin,0.0ʡin,Cloudy,1103,4,https://www.wunderground.com/history/daily/KPIT/date/2012-09-02," Canonsburg, PA","Imperial, PA"
3:41 AM,70ʡF,68ʡF,94ʡ%,NNE,5ʡmph,0ʡmph,28.77ʡin,0.0ʡin,Cloudy,1103,4,https://www.wunderground.com/history/daily/KPIT/date/2012-09-02," Canonsburg, PA","Imperial, PA"
3:51 AM,70ʡF,68ʡF,93ʡ%,NNE,3ʡmph,0ʡmph,28.76ʡin,0.0ʡin,Cloudy,1103,4,https://www.wunderground.com/history/daily/KPIT/date/2012-09-02," Canonsburg, PA","Imperial, PA"
