Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,event_id,round,weather_url,tournament_city,actual_weather_city
12:00 AM,63ʡF,36ʡF,37ʡ%,WSW,6ʡmph,0ʡmph,27.69ʡin,0.0ʡin,Fair,659,3,https://www.wunderground.com/history/daily/LEMD/date/2009-03-28, Sevilla,"Madrid, Madrid, Spain"
12:30 AM,59ʡF,36ʡF,42ʡ%,ESE,1ʡmph,0ʡmph,27.69ʡin,0.0ʡin,Fair,659,3,https://www.wunderground.com/history/daily/LEMD/date/2009-03-28, Sevilla,"Madrid, Madrid, Spain"
1:00 AM,57ʡF,37ʡF,48ʡ%,ESE,3ʡmph,0ʡmph,27.69ʡin,0.0ʡin,Fair,659,3,https://www.wunderground.com/history/daily/LEMD/date/2009-03-28, Sevilla,"Madrid, Madrid, Spain"
1:30 AM,55ʡF,37ʡF,51ʡ%,ESE,5ʡmph,0ʡmph,27.66ʡin,0.0ʡin,Fair,659,3,https://www.wunderground.com/history/daily/LEMD/date/2009-03-28, Sevilla,"Madrid, Madrid, Spain"
3:00 AM,55ʡF,37ʡF,51ʡ%,ESE,5ʡmph,0ʡmph,27.63ʡin,0.0ʡin,Fair,659,3,https://www.wunderground.com/history/daily/LEMD/date/2009-03-28, Sevilla,"Madrid, Madrid, Spain"
3:30 AM,54ʡF,39ʡF,58ʡ%,SSE,5ʡmph,0ʡmph,27.60ʡin,0.0ʡin,Fair,659,3,https://www.wunderground.com/history/daily/LEMD/date/2009-03-28, Sevilla,"Madrid, Madrid, Spain"
4:00 AM,54ʡF,39ʡF,58ʡ%,E,1ʡmph,0ʡmph,27.60ʡin,0.0ʡin,Fair,659,3,https://www.wunderground.com/history/daily/LEMD/date/2009-03-28, Sevilla,"Madrid, Madrid, Spain"
4:30 AM,52ʡF,39ʡF,62ʡ%,NNE,3ʡmph,0ʡmph,27.57ʡin,0.0ʡin,Fair,659,3,https://www.wunderground.com/history/daily/LEMD/date/2009-03-28, Sevilla,"Madrid, Madrid, Spain"
5:00 AM,50ʡF,36ʡF,58ʡ%,N,3ʡmph,0ʡmph,27.57ʡin,0.0ʡin,Fair,659,3,https://www.wunderground.com/history/daily/LEMD/date/2009-03-28, Sevilla,"Madrid, Madrid, Spain"
6:00 AM,46ʡF,36ʡF,66ʡ%,NNW,5ʡmph,0ʡmph,27.57ʡin,0.0ʡin,Fair,659,3,https://www.wunderground.com/history/daily/LEMD/date/2009-03-28, Sevilla,"Madrid, Madrid, Spain"
6:30 AM,46ʡF,36ʡF,66ʡ%,SW,1ʡmph,0ʡmph,27.55ʡin,0.0ʡin,Fair,659,3,https://www.wunderground.com/history/daily/LEMD/date/2009-03-28, Sevilla,"Madrid, Madrid, Spain"
7:00 AM,45ʡF,36ʡF,71ʡ%,NNE,1ʡmph,0ʡmph,27.55ʡin,0.0ʡin,Fair,659,3,https://www.wunderground.com/history/daily/LEMD/date/2009-03-28, Sevilla,"Madrid, Madrid, Spain"
7:30 AM,46ʡF,36ʡF,66ʡ%,SW,1ʡmph,0ʡmph,27.55ʡin,0.0ʡin,Fair,659,3,https://www.wunderground.com/history/daily/LEMD/date/2009-03-28, Sevilla,"Madrid, Madrid, Spain"
8:00 AM,50ʡF,37ʡF,62ʡ%,CALM,0ʡmph,0ʡmph,27.55ʡin,0.0ʡin,Fair,659,3,https://www.wunderground.com/history/daily/LEMD/date/2009-03-28, Sevilla,"Madrid, Madrid, Spain"
8:30 AM,54ʡF,39ʡF,58ʡ%,CALM,0ʡmph,0ʡmph,27.55ʡin,0.0ʡin,Fair,659,3,https://www.wunderground.com/history/daily/LEMD/date/2009-03-28, Sevilla,"Madrid, Madrid, Spain"
9:00 AM,54ʡF,39ʡF,58ʡ%,ESE,5ʡmph,0ʡmph,27.55ʡin,0.0ʡin,Fair,659,3,https://www.wunderground.com/history/daily/LEMD/date/2009-03-28, Sevilla,"Madrid, Madrid, Spain"
