Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,event_id,round,weather_url,tournament_city,actual_weather_city
11:53 PM,55ʡF,52ʡF,89ʡ%,CALM,0ʡmph,0ʡmph,29.98ʡin,0.0ʡin,Fair,401025255,3,https://www.wunderground.com/history/daily/KHVN/date/2018-06-16," Southampton, NY","East Haven, CT"
12:53 AM,57ʡF,53ʡF,87ʡ%,CALM,0ʡmph,0ʡmph,29.99ʡin,0.0ʡin,Fair,401025255,3,https://www.wunderground.com/history/daily/KHVN/date/2018-06-16," Southampton, NY","East Haven, CT"
1:53 AM,60ʡF,51ʡF,72ʡ%,CALM,0ʡmph,0ʡmph,29.99ʡin,0.0ʡin,Fair,401025255,3,https://www.wunderground.com/history/daily/KHVN/date/2018-06-16," Southampton, NY","East Haven, CT"
2:53 AM,60ʡF,51ʡF,72ʡ%,CALM,0ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair,401025255,3,https://www.wunderground.com/history/daily/KHVN/date/2018-06-16," Southampton, NY","East Haven, CT"
3:53 AM,60ʡF,51ʡF,72ʡ%,VAR,3ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair,401025255,3,https://www.wunderground.com/history/daily/KHVN/date/2018-06-16," Southampton, NY","East Haven, CT"
4:53 AM,56ʡF,51ʡF,84ʡ%,CALM,0ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair,401025255,3,https://www.wunderground.com/history/daily/KHVN/date/2018-06-16," Southampton, NY","East Haven, CT"
5:53 AM,62ʡF,54ʡF,75ʡ%,VAR,3ʡmph,0ʡmph,30.02ʡin,0.0ʡin,Fair,401025255,3,https://www.wunderground.com/history/daily/KHVN/date/2018-06-16," Southampton, NY","East Haven, CT"
6:53 AM,68ʡF,55ʡF,63ʡ%,NNW,7ʡmph,0ʡmph,30.03ʡin,0.0ʡin,Fair,401025255,3,https://www.wunderground.com/history/daily/KHVN/date/2018-06-16," Southampton, NY","East Haven, CT"
7:53 AM,73ʡF,55ʡF,53ʡ%,VAR,6ʡmph,0ʡmph,30.02ʡin,0.0ʡin,Fair,401025255,3,https://www.wunderground.com/history/daily/KHVN/date/2018-06-16," Southampton, NY","East Haven, CT"
8:53 AM,76ʡF,51ʡF,42ʡ%,NNE,9ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Partly Cloudy,401025255,3,https://www.wunderground.com/history/daily/KHVN/date/2018-06-16," Southampton, NY","East Haven, CT"
