Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,event_id,round,weather_url,tournament_city,actual_weather_city
11:53 PM,52ʡF,41ʡF,66ʡ%,NW,3ʡmph,0ʡmph,29.26ʡin,0.0ʡin,Partly Cloudy,2472,4,https://www.wunderground.com/history/daily/KDET/date/2015-09-13," Macomb, MI","Detroit, MI"
12:53 AM,50ʡF,42ʡF,74ʡ%,W,7ʡmph,0ʡmph,29.26ʡin,0.0ʡin,Partly Cloudy,2472,4,https://www.wunderground.com/history/daily/KDET/date/2015-09-13," Macomb, MI","Detroit, MI"
1:53 AM,50ʡF,43ʡF,77ʡ%,WNW,6ʡmph,0ʡmph,29.26ʡin,0.0ʡin,Partly Cloudy,2472,4,https://www.wunderground.com/history/daily/KDET/date/2015-09-13," Macomb, MI","Detroit, MI"
2:53 AM,50ʡF,43ʡF,77ʡ%,WNW,6ʡmph,0ʡmph,29.25ʡin,0.0ʡin,Fair,2472,4,https://www.wunderground.com/history/daily/KDET/date/2015-09-13," Macomb, MI","Detroit, MI"
3:53 AM,50ʡF,42ʡF,74ʡ%,NW,7ʡmph,0ʡmph,29.26ʡin,0.0ʡin,Fair,2472,4,https://www.wunderground.com/history/daily/KDET/date/2015-09-13," Macomb, MI","Detroit, MI"
4:53 AM,49ʡF,42ʡF,77ʡ%,WNW,8ʡmph,0ʡmph,29.26ʡin,0.0ʡin,Fair,2472,4,https://www.wunderground.com/history/daily/KDET/date/2015-09-13," Macomb, MI","Detroit, MI"
5:53 AM,49ʡF,42ʡF,77ʡ%,WNW,6ʡmph,0ʡmph,29.27ʡin,0.0ʡin,Fair,2472,4,https://www.wunderground.com/history/daily/KDET/date/2015-09-13," Macomb, MI","Detroit, MI"
6:53 AM,49ʡF,43ʡF,80ʡ%,WNW,5ʡmph,0ʡmph,29.28ʡin,0.0ʡin,Fair,2472,4,https://www.wunderground.com/history/daily/KDET/date/2015-09-13," Macomb, MI","Detroit, MI"
7:53 AM,53ʡF,45ʡF,74ʡ%,NW,8ʡmph,0ʡmph,29.30ʡin,0.0ʡin,Fair,2472,4,https://www.wunderground.com/history/daily/KDET/date/2015-09-13," Macomb, MI","Detroit, MI"
8:53 AM,56ʡF,44ʡF,64ʡ%,NNW,14ʡmph,18ʡmph,29.30ʡin,0.0ʡin,Fair,2472,4,https://www.wunderground.com/history/daily/KDET/date/2015-09-13," Macomb, MI","Detroit, MI"
9:53 AM,59ʡF,41ʡF,51ʡ%,N,15ʡmph,20ʡmph,29.31ʡin,0.0ʡin,Fair,2472,4,https://www.wunderground.com/history/daily/KDET/date/2015-09-13," Macomb, MI","Detroit, MI"
10:53 AM,60ʡF,41ʡF,49ʡ%,NW,8ʡmph,0ʡmph,29.31ʡin,0.0ʡin,Partly Cloudy,2472,4,https://www.wunderground.com/history/daily/KDET/date/2015-09-13," Macomb, MI","Detroit, MI"
11:53 AM,61ʡF,40ʡF,46ʡ%,NW,8ʡmph,0ʡmph,29.30ʡin,0.0ʡin,Fair,2472,4,https://www.wunderground.com/history/daily/KDET/date/2015-09-13," Macomb, MI","Detroit, MI"
12:53 PM,64ʡF,41ʡF,43ʡ%,WNW,12ʡmph,20ʡmph,29.29ʡin,0.0ʡin,Partly Cloudy,2472,4,https://www.wunderground.com/history/daily/KDET/date/2015-09-13," Macomb, MI","Detroit, MI"
1:53 PM,65ʡF,40ʡF,40ʡ%,NW,9ʡmph,20ʡmph,29.29ʡin,0.0ʡin,Partly Cloudy,2472,4,https://www.wunderground.com/history/daily/KDET/date/2015-09-13," Macomb, MI","Detroit, MI"
2:53 PM,66ʡF,41ʡF,40ʡ%,NW,10ʡmph,18ʡmph,29.28ʡin,0.0ʡin,Fair,2472,4,https://www.wunderground.com/history/daily/KDET/date/2015-09-13," Macomb, MI","Detroit, MI"
